Altium Designer Pick and Place Locations
C:\Users\schwarz\AppData\Local\TempReleases\Snapshot\2\Assembly foxBMS_14cell_BMS-Slave_NXP775A\pnp-data\Pick Place for slave-14-mc33775(foxBMS_14cell_BMS-Slave_NXP775A).txt

========================================================================================================================
File Design Information:

Date:       18-12-24
Time:       10:27
Revision:   Not in VersionControl
Variant:    foxBMS_14cell_BMS-Slave_NXP775A
Units used: mm

Designator   Comment                   Layer    Footprint                    Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                      Height(mm) 
3.3V_DCDC    Testpoint_Square          TopLayer Testpoint_S1                 142.2400     51.4350      90       "Testpoint, square"                                                                                                                                                              0.0000     
3.3V_LDO     Testpoint_Square          TopLayer Testpoint_S1                 56.2400      63.2570      90       "Testpoint, square"                                                                                                                                                              0.0000     
ALARM_IN     Testpoint_Square          TopLayer Testpoint_S1                 145.4150     45.0150      90       "Testpoint, square"                                                                                                                                                              0.0000     
ALARM_OUT    Testpoint_Square          TopLayer Testpoint_S1                 113.6650     36.5125      90       "Testpoint, square"                                                                                                                                                              0.0000     
C400         100n/100V                 TopLayer CAPC1608X08N                 57.7850      59.0550      0        MLCC                                                                                                                                                                             0.8000     
C500         47n/100V                  TopLayer CAPC1608X08N                 69.2150      27.9400      90       MLCC                                                                                                                                                                             0.8000     
C501         47n/100V                  TopLayer CAPC1608X08N                 69.2150      34.2900      270      MLCC                                                                                                                                                                             0.8000     
C502         47n/100V                  TopLayer CAPC1608X08N                 89.5350      27.9400      90       MLCC                                                                                                                                                                             0.8000     
C503         47n/100V                  TopLayer CAPC1608X08N                 89.5350      34.2900      270      MLCC                                                                                                                                                                             0.8000     
C504         47n/100V                  TopLayer CAPC1608X08N                 71.7550      27.9400      90       MLCC                                                                                                                                                                             0.8000     
C505         47n/100V                  TopLayer CAPC1608X08N                 71.7550      34.2900      270      MLCC                                                                                                                                                                             0.8000     
C506         47n/100V                  TopLayer CAPC1608X08N                 92.0750      27.9400      90       MLCC                                                                                                                                                                             0.8000     
C507         47n/100V                  TopLayer CAPC1608X08N                 92.0750      34.2900      270      MLCC                                                                                                                                                                             0.8000     
